playerId,Name,Sex,Equipment,Age,BodyweightKg,BestSquatKg,BestDeadliftKg,BestBenchKg
19391,Carlos Ceron,M,Raw,23,87.3,205,235,125
15978,Tito Herrera,M,Wraps,23,73.48,220,260,157.5
27209,Levi Lehman,M,Raw,26,112.4,142.5,220,145
27496,Stacy Hayford,F,Raw,35,59.42,95,102.5,60
20293,Brittany Hirt,F,Raw,26.5,61.4,105,127.5,60
25176,Zoran Jankovski,M,Wraps,23,113.5,260,285,160
128,Mitchell Hayes,M,Raw,22.5,90.55,162.5,200,107.5
28187,John Gibson,M,Raw,24,100,200,227.5,180
8022,Sakiko Ito,F,Single-ply,19.5,51.2,115,127.5,62.5
22487,Lorrie Bosen,F,Raw,54,65.25,72.5,115,55
22170,Joe Kiser,M,Wraps,28,73,157.5,205,105
23134,Eric Loyola,M,Raw,47,88,220,207.5,132.5
2669,Hevher Mendez,M,Raw,24.5,79.1,172.5,210,105
11339,Christopher Richards,M,Wraps,25,82.5,183.7,226.8,111.13
18805,Jamey Grotjahn,M,Raw,42.5,174.25,292.5,322.5,250
19429,Samyra Abweh,F,Raw,17,47.5,90,135,77.5
13458,Roque Domingues,M,Wraps,27,89.6,215,235,130
25933,Jessica Royse,F,Raw,37.5,106.2,102.5,140,60
24717,Geoffery Bennett,M,Raw,38,81.8,190,237.5,122.5
22540,Amber Damian,F,Raw,27.5,67.1,122.5,155,92.5
11734,Julio Serrano,M,Wraps,25,99,310,350,172.5
17062,Lauryn Cudworth,F,Raw,19.5,58.6,110,157.5,52.5
17970,Emily Rodriguez,F,Raw,18.5,46.7,85,115,45
10792,Katerina Skudrikova,F,Raw,18.5,81.5,110,135,67.5
13077,Andres Cuadros,M,Raw,20,91.99,197.5,235,117.5
13209,Jessica Thornton,F,Single-ply,15,66.2,105,122.5,65
11037,Dan Wyman,M,Wraps,47,98.66,204.12,204.12,106.59
10818,Alastair MacNicol,M,Raw,29,99.4,292.5,342.5,185
13014,Florian Loock,M,Raw,33.5,105,250,280,212.5
5151,Heidi Colvin,F,Single-ply,17.5,80.3,167.5,152.5,70
27078,Emily Boudreau,F,Wraps,20,61.7,97.5,125,55
20174,Yi Chen,F,Wraps,54,54.43,82.5,90,40
28349,Justin Dela Cruz,M,Raw,17.5,58,97.5,135,65
14634,Eulicez Gonzalez,M,Raw,18.5,57.4,142.5,182.5,107.5
26186,Caitlyn Cooper,F,Single-ply,18.5,65.1,145,135,75
3544,Geoffrey Stanford,M,Wraps,24,109,320,320,185
18886,Sheena Hodges,F,Raw,31,73.7,142.5,152.5,80
15238,Rebekah Shirley,F,Raw,20,54,92.5,127.5,45
7097,Justin Bennett,M,Wraps,26,108.8,255,302.5,193
27459,Darrell Brassell,M,Wraps,22,80.74,265.35,278.96,192.78
21454,Curt Shaver,M,Wraps,48,95.2,180,255,167.5
13940,Leland Tien,M,Wraps,30.5,133.58,283.5,317.51,244.94
3187,Aleksandr Kapturov,M,Raw,21.5,73.2,242.5,257.5,130
8550,Fulton White,M,Single-ply,52,73.94,205,235,145
2184,Nathan Morace,M,Raw,22,79.06,220,227.5,142.5
3487,Doug Owen,M,Wraps,18,107.23,225,267.5,152.5
5945,Tanner Madison,M,Wraps,16,56,160,167.5,115
20664,Sarah Horrox,F,Raw,20.5,83.9,145,160,82.5
26343,Mehar Bhogal,M,Single-ply,19.5,82,225,227.5,160
4073,David Herrera,M,Raw,30,81.1,275,322.5,175
6162,Vincent Casenove,M,Single-ply,43.5,72.74,220,230,147.5
23034,Cindy Meeker,F,Wraps,53,66.45,85,115,52.5
9651,Sean Cox,M,Raw,23.5,112.6,235,282.5,147.5
6242,Lynsey Johnson,F,Wraps,26,51.35,97.52,115.67,68.04
28845,Kylie Podeswa,F,Raw,17.5,61.8,110,115,57.5
2045,Harri Hagfors,M,Single-ply,55.5,92.18,252.5,265,177.5
2293,Cat Dupuis,F,Raw,35,82.2,140,165,92.5
20774,Richard Loza,M,Wraps,33,105.7,232.5,272.5,157.5
19406,Andrew Ronayne,M,Wraps,44,92.35,175,182.5,117.5
5833,Matt Livesay,M,Wraps,40,106.59,192.78,163.29,142.88
4770,Grady Gulbrandson,M,Single-ply,16.5,88.95,170,232.5,120
17711,Harby Limon,M,Raw,38,135.17,220,250,197.5
22489,Dillon Smith,M,Wraps,24,85,240,227.5,160
16467,Cara Westin,F,Single-ply,45,68.4,170,167.5,122.5
9409,Marianne Kosonen,F,Multi-ply,24,47.63,222.5,165,122.5
7859,Ryan Hammons,M,Raw,21,74.07,197.5,227.5,147.5
29807,April Ritenour,F,Raw,23.5,71.9,142.5,142.5,70
6053,William Ha,M,Raw,30,99,235,260,157.5
21349,Robb Grisham,M,Single-ply,,111.6,160,155,82.5
11862,Magdalena Bialek,F,Single-ply,21.5,82.9,227.5,202.5,115
17023,Sam Hardy,M,Wraps,25,109.15,267.5,285,170
21958,Bill Newman,M,Single-ply,26,123.83,342.5,295,247.5
25613,Kenneth Cameron,M,Raw,38,108.41,225,277.5,157.5
