playerId,Name,Sex,Equipment,Age,BodyweightKg,BestSquatKg,BestDeadliftKg,BestBenchKg
12813,Raymond Chow,M,Raw,23.5,82.2,210,235.0,147.5
29198,Danielle Crain,F,Raw,28.5,108.3,62.5,112.5,65.0
7809,Jose Flores,M,Raw,25.0,99.1,280,272.5,175.0
9602,Alan Hsieh,M,Raw,23.5,73.2,167.5,192.5,85.0
4090,Haydn Hawkins,M,Raw,22.5,74.7,140,160.0,95.0
22839,Andrew Brown,M,Raw,39.0,108.7,232.5,250.0,140.0
13416,Sara Olguin,F,Raw,17.0,67.0,97.5,110.0,62.5
994,Daphne Zhang,F,Raw,23.0,67.15,147.5,165.0,87.5
26976,Scott Layman,M,Raw,43.0,65.86,215,225.0,142.5
22310,Brady Cable,M,Raw,21.5,90.85,197.5,275.0,145.0
15521,Leslie Knickman,F,Raw,49.0,75.0,142.5,167.5,62.5
6134,Joseph Cristando,M,Raw,31.5,114.5,222.5,210.0,127.5
21555,Jas Singh,M,Raw,53.0,98.2,240,252.5,160.0
10342,Nadia Gonzalez,F,Raw,25.0,75.0,57.5,102.5,35.0
1430,Luke Tremblay,M,Raw,20.5,103.63,280,305.0,190.0
5868,John Johnson,M,Raw,30.0,89.6,182.5,190.0,132.5
9146,Hector Deleon,M,Raw,22.0,87.54,182.5,222.5,125.0
15659,Rachel Blackburn,F,Raw,28.0,44.96,55,65.0,30.0
1561,Jay Elinzondo,M,Raw,18.0,76.38,142.5,185.0,85.0
29335,Denise Jaffe,F,Raw,49.0,55.25,65,95.0,42.5
8568,Elizabeth Fraser,F,Raw,18.0,80.5,97.5,122.5,62.5
11529,Kseniya Boytsova,F,Wraps,27.0,46.3,80,115.0,45.0
10595,Edgar Acevedo,M,Wraps,21.0,73.94,233.6,233.6,149.69
13772,John Hall,M,Wraps,15.0,82.5,97.5,107.5,87.5
10655,Emily Power,F,Raw,22.0,58.47,100,140.0,70.0
3250,Russell Vinoya,M,Raw,42.0,105.5,130,157.5,92.5
10481,Gerald Omictin,M,Raw,24.0,122.25,280,282.5,192.5
19616,Emmanuel Van Hout,M,Raw,19.5,83.0,187.5,240.0,140.0
11135,Scott Gebert,M,Raw,26.5,117.2,200,230.0,110.0
8276,Sarah Holiday,F,Raw,23.5,61.1,82.5,127.5,42.5
9586,Bryan Espinoza,M,Raw,22.0,107.0,220,260.0,132.5
25758,Mirian Bustamante,F,Raw,29.5,46.95,100,100.0,62.5
8203,Kelsey Indergaard,F,Raw,26.5,94.5,125,135.0,67.5
3387,Jasmine Jenkins,F,Multi-ply,30.0,73.12,226.8,197.31,138.35
11318,Alyssa Kuveke,F,Raw,20.0,55.97,90,130.0,52.5
4751,Timothy Hamilton,M,Single-ply,27.0,112.6,257.5,240.0,152.5
22123,Adrianne Thomas,F,Raw,17.5,53.22,75,115.0,40.0
20822,A Jay Montanez,M,Raw,22.0,123.9,225,270.0,165.0
2666,Andrew Padilla,M,Raw,21.0,88.3,175,227.5,125.0
26339,Christa Atsiaya,F,Raw,26.0,72.2,120,155.0,62.5
4583,Kathryn Martinez-Gilbertson,F,Raw,35.5,82.8,105,117.5,60.0
5291,Brandon Kiefer,M,Raw,26.0,88.8,182.5,200.0,115.0
3103,Gabrielle Fosdick,F,Raw,22.5,70.8,120,147.5,77.5
602,Betsy Spann,F,Single-ply,60.0,66.5,118,148.0,75.5
19620,Jimmy Christiansen,M,Wraps,18.0,71.55,167.5,250.0,110.0
5925,James Mooney,M,Raw,19.5,99.1,275,265.0,142.5
277,Brandon Mahon,M,Raw,21.5,104.05,240,250.0,167.5
91,Rouxchelle Roux,F,Raw,18.5,51.6,107.5,120.0,55.0
4703,Luke Morgan,M,Wraps,26.0,98.7,250,305.0,155.0
17690,You-Si Jhang,M,Single-ply,22.5,82.84,252.5,325.0,180.0
10907,David Mclendon,M,Raw,20.5,76.0,150,205.0,87.5
18690,Catherine Greene,F,Raw,28.5,80.35,147.5,167.5,80.0
21587,David Cook,M,Wraps,48.0,140.0,205,225.0,155.0
14872,Chris True,M,Wraps,24.0,88.9,242.67,274.42,156.49
19618,Justin Metzler,M,Raw,34.5,91.1,175,237.5,157.5
22719,Louise Edwards,F,Single-ply,38.5,46.91,127.5,130.0,65.0
29984,Shane Corbett,M,Raw,18.5,90.1,220,260.0,132.5
3693,Dakota Smith,M,Raw,16.0,74.6,122.5,140.0,85.0
10645,Ryan Ackerman,M,Wraps,24.0,81.9,187.5,205.0,145.0
13540,Jason Greenway,M,Raw,23.5,92.1,240,250.0,152.5
22021,Cody Jenks,M,Wraps,29.0,89.13,202.5,245.0,142.5
14635,Matthew Tracy,M,Raw,27.0,115.6,252.5,272.5,205.0
12442,Rob Clark,M,Wraps,43.5,88.0,294.84,288.03,199.58
10132,Linh Vu,M,Raw,30.5,73.8,175,230.0,102.5
16019,Frank Russo,M,Raw,38.0,89.6,200,270.0,140.0
24973,Suzy Maddox,F,Raw,42.0,81.84,152.5,160.0,105.0
9540,James Bullen,M,Raw,21.5,58.65,130,145.0,70.0
25200,David Hernandez,M,Raw,21.0,97.3,202.5,227.5,155.0
24574,Peter Hartin,M,Wraps,20.0,95.35,215,260.0,145.0
