BodyweightKg,BestSquatKg,BestDeadliftKg,RelativeSquatStrength,RelativeDeadliftStrength,Equipment_Raw,Equipment_Single-ply,Equipment_Wraps,Sex_M,AgeCategoryEncoded
91.45,172.5,200.0,1.88627665390924,2.1869874248223073,1.0,0.0,0.0,1.0,3.0
89.67,87.5,145.0,0.975800156128025,1.6170402587264414,0.0,0.0,1.0,1.0,2.0
105.32,250.0,252.5,2.373718192176225,2.397455374097987,1.0,0.0,0.0,0.0,2.0
101.79,181.44,215.46,1.782493368700265,2.116710875331565,1.0,0.0,0.0,1.0,5.0
71.49,142.5,162.5,1.9932857742341588,2.2730451811442163,1.0,0.0,0.0,1.0,0.0
81.5,165.0,227.5,2.0245398773006134,2.791411042944785,1.0,0.0,0.0,1.0,0.0
82.37,207.5,225.0,2.5191210392133057,2.731577030472259,0.0,0.0,1.0,1.0,1.0
75.0,180.0,237.5,2.4,3.1666666666666665,0.0,1.0,0.0,1.0,1.0
99.79,270.0,272.5,2.70568193205732,2.7307345425393326,0.0,0.0,1.0,1.0,2.0
88.7,240.0,240.0,2.705749718151071,2.705749718151071,0.0,1.0,0.0,1.0,2.0
80.7,177.5,225.0,2.199504337050805,2.7881040892193307,0.0,0.0,1.0,1.0,2.0
66.2,130.0,157.5,1.9637462235649545,2.379154078549849,1.0,0.0,0.0,1.0,2.0
95.85,150.0,155.0,1.564945226917058,1.6171100678142933,1.0,0.0,0.0,0.0,1.0
100.9,150.0,182.5,1.4866204162537164,1.8087215064420217,0.0,0.0,1.0,1.0,1.0
107.9,325.0,305.0,3.012048192771084,2.8266913809082483,1.0,0.0,0.0,0.0,2.0
123.0,162.5,165.0,1.3211382113821137,1.3414634146341464,0.0,0.0,1.0,1.0,3.0
82.0,235.0,265.0,2.8658536585365852,3.231707317073171,1.0,0.0,0.0,1.0,2.0
107.68,220.0,207.5,2.0430906389301633,1.927005943536404,0.0,1.0,0.0,1.0,3.0
73.5,110.0,150.0,1.4965986394557824,2.0408163265306123,0.0,0.0,1.0,1.0,2.0
84.6,185.0,207.5,2.186761229314421,2.452718676122932,1.0,0.0,0.0,1.0,2.0
65.3,107.5,110.0,1.64624808575804,1.6845329249617151,0.0,0.0,1.0,1.0,2.0
76.6,125.0,172.5,1.6318537859007833,2.251958224543081,0.0,1.0,0.0,0.0,2.0
86.6,235.0,265.0,2.7136258660508084,3.0600461893764437,0.0,0.0,1.0,1.0,2.0
99.7,145.0,182.5,1.4543630892678034,1.8304914744232696,1.0,0.0,0.0,0.0,2.0
107.8,205.0,227.5,1.901669758812616,2.1103896103896105,1.0,0.0,0.0,1.0,2.0
120.8,195.0,262.5,1.6142384105960266,2.1730132450331126,1.0,0.0,0.0,1.0,2.0
77.0,137.5,177.5,1.7857142857142858,2.3051948051948052,1.0,0.0,0.0,0.0,2.0
96.5,230.0,242.5,2.383419689119171,2.5129533678756477,1.0,0.0,0.0,1.0,1.0
118.5,207.5,247.5,1.751054852320675,2.088607594936709,0.0,0.0,1.0,1.0,2.0
89.49,183.7,208.65,2.052743323276344,2.331545424069729,1.0,0.0,0.0,0.0,3.0
123.65,400.0,320.0,3.234937323089365,2.587949858471492,0.0,0.0,1.0,1.0,2.0
104.7,390.0,355.0,3.7249283667621778,3.390639923591213,0.0,1.0,0.0,1.0,2.0
80.2,65.0,120.0,0.8104738154613466,1.4962593516209475,1.0,0.0,0.0,1.0,2.0
99.7,140.0,175.0,1.4042126379137412,1.7552657973921766,1.0,0.0,0.0,1.0,3.0
74.2,105.0,155.0,1.4150943396226414,2.0889487870619945,1.0,0.0,0.0,1.0,6.0
73.48,195.0,240.0,2.6537833424060966,3.26619488296135,0.0,0.0,1.0,1.0,2.0
98.6,285.0,335.0,2.8904665314401625,3.3975659229208928,1.0,0.0,0.0,0.0,2.0
99.25,190.0,227.5,1.9143576826196473,2.292191435768262,1.0,0.0,0.0,1.0,2.0
126.82,320.0,305.0,2.5232613152499606,2.404983441097619,0.0,0.0,1.0,1.0,2.0
78.7,115.0,142.5,1.4612452350698857,1.8106734434561627,1.0,0.0,0.0,0.0,0.0
90.0,260.0,240.0,2.888888888888889,2.6666666666666665,1.0,0.0,0.0,0.0,2.0
79.5,165.0,182.5,2.0754716981132075,2.2955974842767297,0.0,0.0,1.0,0.0,0.0
89.4,290.0,330.0,3.2438478747203576,3.6912751677852347,1.0,0.0,0.0,1.0,2.0
66.3,72.5,90.0,1.0935143288084466,1.3574660633484164,0.0,0.0,1.0,0.0,5.0
74.0,120.0,140.0,1.6216216216216217,1.8918918918918919,1.0,0.0,0.0,1.0,3.0
78.2,170.0,190.0,2.1739130434782608,2.4296675191815855,1.0,0.0,0.0,0.0,3.0
81.54,272.5,250.0,3.3419180770174144,3.06597988717194,1.0,0.0,0.0,1.0,0.0
51.25,92.5,115.0,1.8048780487804879,2.2439024390243905,1.0,0.0,0.0,1.0,2.0
56.54,170.0,155.0,3.0067209055535904,2.741422002122391,1.0,0.0,0.0,1.0,3.0
73.8,297.5,275.0,4.031165311653116,3.7262872628726287,0.0,1.0,0.0,0.0,2.0
63.23,115.0,120.0,1.8187569191839317,1.8978333069745374,1.0,0.0,0.0,0.0,1.0
88.68,254.0,260.8,2.864230942715381,2.940911141181777,0.0,0.0,1.0,1.0,0.0
73.94,182.5,187.5,2.4682174736272655,2.535839870164999,0.0,0.0,1.0,1.0,2.0
73.65,200.0,212.5,2.715546503733876,2.8852681602172434,0.0,0.0,1.0,0.0,2.0
98.6,200.0,227.5,2.028397565922921,2.3073022312373226,0.0,0.0,1.0,1.0,3.0
81.5,180.0,227.5,2.208588957055215,2.791411042944785,1.0,0.0,0.0,1.0,1.0
73.6,190.0,205.0,2.581521739130435,2.785326086956522,1.0,0.0,0.0,1.0,2.0
115.55,260.0,272.5,2.250108178277802,2.358286456079619,1.0,0.0,0.0,0.0,2.0
80.81,200.0,167.5,2.4749412201460212,2.072763271872293,1.0,0.0,0.0,1.0,0.0
107.1,235.0,240.0,2.1942110177404297,2.2408963585434174,1.0,0.0,0.0,1.0,1.0
49.53,112.5,140.0,2.2713506965475467,2.826569755703614,1.0,0.0,0.0,1.0,2.0
94.0,142.5,185.0,1.5159574468085106,1.9680851063829787,1.0,0.0,0.0,1.0,0.0
66.5,92.5,82.5,1.3909774436090225,1.2406015037593985,0.0,1.0,0.0,1.0,1.0
87.35,212.5,272.5,2.4327418431597025,3.1196336576989125,0.0,0.0,1.0,1.0,2.0
72.8,162.5,222.5,2.232142857142857,3.0563186813186816,1.0,0.0,0.0,0.0,1.0
108.41,272.16,290.3,2.5104695138824833,2.677797251176091,0.0,0.0,1.0,1.0,2.0
81.72,230.0,275.0,2.8144884973078805,3.3651492902594224,1.0,0.0,0.0,0.0,1.0
74.4,167.5,170.0,2.251344086021505,2.2849462365591395,0.0,0.0,1.0,1.0,2.0
78.65,81.7,83.9,1.038779402415766,1.066751430387794,0.0,0.0,1.0,0.0,3.0
88.9,92.5,120.5,1.0404949381327333,1.3554555680539933,0.0,0.0,1.0,0.0,3.0
82.5,156.49,165.56,1.896848484848485,2.006787878787879,1.0,0.0,0.0,1.0,0.0
47.11,52.5,100.0,1.1144130757800892,2.1226915729144555,1.0,0.0,0.0,1.0,1.0
113.9,142.5,190.0,1.251097453906936,1.6681299385425812,1.0,0.0,0.0,0.0,6.0
91.1,267.5,305.0,2.936333699231614,3.347969264544457,0.0,0.0,1.0,0.0,2.0
74.9,100.0,125.0,1.3351134846461947,1.6688918558077435,1.0,0.0,0.0,0.0,4.0
79.3,202.5,177.5,2.5535939470365703,2.238335435056747,1.0,0.0,0.0,1.0,0.0
63.2,115.0,137.5,1.8196202531645569,2.175632911392405,1.0,0.0,0.0,1.0,2.0
89.9,140.0,152.5,1.557285873192436,1.6963292547274749,1.0,0.0,0.0,1.0,2.0
68.2,195.0,242.5,2.859237536656891,3.5557184750733137,1.0,0.0,0.0,1.0,1.0
145.1,280.0,280.0,1.9297036526533426,1.9297036526533426,1.0,0.0,0.0,1.0,2.0
118.9,112.5,125.0,0.9461732548359966,1.0513036164844407,0.0,0.0,1.0,0.0,2.0
63.2,70.0,100.0,1.1075949367088607,1.5822784810126582,0.0,1.0,0.0,1.0,5.0
51.71,58.97,124.74,1.1403983755559852,2.4122993618255655,1.0,0.0,0.0,1.0,5.0
115.14,405.0,370.0,3.5174570088587807,3.213479242661108,1.0,0.0,0.0,1.0,2.0
88.8,215.0,265.0,2.421171171171171,2.9842342342342345,1.0,0.0,0.0,1.0,2.0
150.35,292.5,305.0,1.9454605919521117,2.0285999334885267,1.0,0.0,0.0,0.0,1.0
132.15,207.5,220.0,1.5701853953840332,1.6647748770336739,1.0,0.0,0.0,1.0,0.0
103.85,217.5,272.5,2.094366875300915,2.6239768897448243,1.0,0.0,0.0,1.0,2.0
34.56,60.0,75.0,1.736111111111111,2.170138888888889,1.0,0.0,0.0,1.0,0.0
64.4,217.5,220.0,3.3773291925465836,3.416149068322981,1.0,0.0,0.0,1.0,3.0
82.4,225.0,250.0,2.7305825242718447,3.0339805825242716,1.0,0.0,0.0,0.0,1.0
74.9,110.0,130.0,1.4686248331108143,1.7356475300400533,1.0,0.0,0.0,1.0,2.0
60.0,112.5,127.5,1.875,2.125,0.0,1.0,0.0,1.0,2.0
82.7,215.0,175.0,2.599758162031439,2.1160822249093107,1.0,0.0,0.0,1.0,1.0
102.4,140.0,240.0,1.3671875,2.34375,1.0,0.0,0.0,0.0,2.0
94.35,312.98,274.42,3.3172231054584,2.908532061473238,0.0,0.0,1.0,1.0,2.0
119.4,267.5,282.5,2.2403685092127303,2.365996649916248,1.0,0.0,0.0,0.0,2.0
89.72,208.65,249.48,2.3255684351315202,2.780650913954525,0.0,0.0,1.0,1.0,1.0
