Age,BodyweightKg,BestSquatKg,BestDeadliftKg,BestBenchKg,RelativeSquatStrength,RelativeDeadliftStrength,Equipment_Index,Equipment_Raw,Equipment_Single-ply,Equipment_Wraps,Sex_M,AgeCategory
23.0,87.3,205.0,235.0,125.0,2.348224513172967,2.691867124856816,1,True,False,False,True,Open
23.0,73.48,220.0,260.0,157.5,2.994011976047904,3.5383777898747955,2,False,False,True,True,Open
26.0,112.4,142.5,220.0,145.0,1.2677935943060497,1.9572953736654803,1,True,False,False,True,Open
35.0,59.42,95.0,102.5,60.0,1.5987882867721306,1.7250084146751934,1,True,False,False,False,Open
26.5,61.4,105.0,127.5,60.0,1.710097719869707,2.0765472312703586,1,True,False,False,False,Open
23.0,113.5,260.0,285.0,160.0,2.290748898678414,2.511013215859031,2,False,False,True,True,Open
22.5,90.55,162.5,200.0,107.5,1.7945886250690226,2.2087244616234125,1,True,False,False,True,Junior
24.0,100.0,200.0,227.5,180.0,2.0,2.275,1,True,False,False,True,Open
19.5,51.2,115.0,127.5,62.5,2.24609375,2.490234375,3,False,True,False,False,Junior
54.0,65.25,72.5,115.0,55.0,1.1111111111111112,1.7624521072796935,1,True,False,False,False,Masters 2
28.0,73.0,157.5,205.0,105.0,2.1575342465753424,2.808219178082192,2,False,False,True,True,Open
47.0,88.0,220.0,207.5,132.5,2.5,2.3579545454545454,1,True,False,False,True,Masters 1
24.5,79.1,172.5,210.0,105.0,2.18078381795196,2.6548672566371683,1,True,False,False,True,Open
25.0,82.5,183.7,226.8,111.13,2.2266666666666666,2.749090909090909,2,False,False,True,True,Open
42.5,174.25,292.5,322.5,250.0,1.678622668579627,1.8507890961262554,1,True,False,False,True,Masters 1
17.0,47.5,90.0,135.0,77.5,1.894736842105263,2.8421052631578947,1,True,False,False,False,Sub-Junior
27.0,89.6,215.0,235.0,130.0,2.3995535714285716,2.622767857142857,2,False,False,True,True,Open
37.5,106.2,102.5,140.0,60.0,0.9651600753295668,1.3182674199623352,1,True,False,False,False,Open
38.0,81.8,190.0,237.5,122.5,2.3227383863080684,2.9034229828850857,1,True,False,False,True,Masters 1
27.5,67.1,122.5,155.0,92.5,1.8256333830104323,2.309985096870343,1,True,False,False,False,Open
25.0,99.0,310.0,350.0,172.5,3.1313131313131315,3.5353535353535355,2,False,False,True,True,Open
19.5,58.6,110.0,157.5,52.5,1.8771331058020477,2.6877133105802047,1,True,False,False,False,Junior
18.5,46.7,85.0,115.0,45.0,1.8201284796573876,2.462526766595289,1,True,False,False,False,Junior
18.5,81.5,110.0,135.0,67.5,1.3496932515337423,1.656441717791411,1,True,False,False,False,Junior
20.0,91.99,197.5,235.0,117.5,2.1469724970105446,2.5546255027720406,1,True,False,False,True,Junior
15.0,66.2,105.0,122.5,65.0,1.5861027190332326,1.850453172205438,3,False,True,False,False,Sub-Junior
47.0,98.66,204.12,204.12,106.59,2.068923575917292,2.068923575917292,2,False,False,True,True,Masters 1
29.0,99.4,292.5,342.5,185.0,2.942655935613682,3.4456740442655933,1,True,False,False,True,Open
33.5,105.0,250.0,280.0,212.5,2.380952380952381,2.6666666666666665,1,True,False,False,True,Open
17.5,80.3,167.5,152.5,70.0,2.0859277708592776,1.8991282689912827,3,False,True,False,False,Sub-Junior
20.0,61.7,97.5,125.0,55.0,1.5802269043760129,2.025931928687196,2,False,False,True,False,Junior
54.0,54.43,82.5,90.0,40.0,1.5157082491273195,1.653499908138894,2,False,False,True,False,Masters 2
17.5,58.0,97.5,135.0,65.0,1.6810344827586208,2.3275862068965516,1,True,False,False,True,Sub-Junior
18.5,57.4,142.5,182.5,107.5,2.4825783972125435,3.1794425087108014,1,True,False,False,True,Junior
18.5,65.1,145.0,135.0,75.0,2.227342549923195,2.0737327188940093,3,False,True,False,False,Junior
24.0,109.0,320.0,320.0,185.0,2.9357798165137616,2.9357798165137616,2,False,False,True,True,Open
31.0,73.7,142.5,152.5,80.0,1.9335142469470827,2.0691994572591588,1,True,False,False,False,Open
20.0,54.0,92.5,127.5,45.0,1.712962962962963,2.361111111111111,1,True,False,False,False,Junior
26.0,108.8,255.0,302.5,193.0,2.34375,2.780330882352941,2,False,False,True,True,Open
22.0,80.74,265.35,278.96,192.78,3.2864751052761956,3.455040871934605,2,False,False,True,True,Junior
48.0,95.2,180.0,255.0,167.5,1.8907563025210083,2.6785714285714284,2,False,False,True,True,Masters 1
30.5,133.58,283.5,317.51,244.94,2.122323701152867,2.3769276837849973,2,False,False,True,True,Open
21.5,73.2,242.5,257.5,130.0,3.3128415300546448,3.51775956284153,1,True,False,False,True,Junior
52.0,73.94,205.0,235.0,145.0,2.7725182580470653,3.178252637273465,3,False,True,False,True,Masters 2
22.0,79.06,220.0,227.5,142.5,2.7826966860612194,2.8775613458133065,1,True,False,False,True,Junior
18.0,107.23,225.0,267.5,152.5,2.0982933880443904,2.4946376946749975,2,False,False,True,True,Junior
16.0,56.0,160.0,167.5,115.0,2.857142857142857,2.9910714285714284,2,False,False,True,True,Sub-Junior
20.5,83.9,145.0,160.0,82.5,1.7282479141835518,1.907032181168057,1,True,False,False,False,Junior
19.5,82.0,225.0,227.5,160.0,2.7439024390243905,2.774390243902439,3,False,True,False,True,Junior
30.0,81.1,275.0,322.5,175.0,3.390875462392109,3.9765721331689274,1,True,False,False,True,Open
43.5,72.74,220.0,230.0,147.5,3.024470717624416,3.1619466593346166,3,False,True,False,True,Masters 1
53.0,66.45,85.0,115.0,52.5,1.2791572610985702,1.7306245297215952,2,False,False,True,False,Masters 2
23.5,112.6,235.0,282.5,147.5,2.0870337477797514,2.5088809946714035,1,True,False,False,True,Open
26.0,51.35,97.52,115.67,68.04,1.8991236611489775,2.2525803310613437,2,False,False,True,False,Open
17.5,61.8,110.0,115.0,57.5,1.7799352750809063,1.86084142394822,1,True,False,False,False,Sub-Junior
55.5,92.18,252.5,265.0,177.5,2.739205901497071,2.874810154046431,3,False,True,False,True,Masters 2
35.0,82.2,140.0,165.0,92.5,1.70316301703163,2.0072992700729926,1,True,False,False,False,Open
33.0,105.7,232.5,272.5,157.5,2.1996215704824977,2.578051087984863,2,False,False,True,True,Open
44.0,92.35,175.0,182.5,117.5,1.8949648077964267,1.9761775852734165,2,False,False,True,True,Masters 1
40.0,106.59,192.78,163.29,142.88,1.8086124401913874,1.531944835350408,2,False,False,True,True,Masters 1
16.5,88.95,170.0,232.5,120.0,1.911186059584036,2.6138279932546373,3,False,True,False,True,Sub-Junior
38.0,135.17,220.0,250.0,197.5,1.6275800843382409,1.8495228231116374,1,True,False,False,True,Masters 1
24.0,85.0,240.0,227.5,160.0,2.823529411764706,2.676470588235294,2,False,False,True,True,Open
45.0,68.4,170.0,167.5,122.5,2.485380116959064,2.448830409356725,3,False,True,False,False,Masters 1
24.0,47.63,222.5,165.0,122.5,4.671425572118412,3.464203233256351,4,False,False,False,False,Open
21.0,74.07,197.5,227.5,147.5,2.66639665181585,3.0714189280410427,1,True,False,False,True,Junior
23.5,71.9,142.5,142.5,70.0,1.9819193324061195,1.9819193324061195,1,True,False,False,False,Open
30.0,99.0,235.0,260.0,157.5,2.3737373737373737,2.6262626262626263,1,True,False,False,True,Open
29.664699599465955,111.6,160.0,155.0,82.5,1.4336917562724014,1.388888888888889,3,False,True,False,True,Open
21.5,82.9,227.5,202.5,115.0,2.744270205066345,2.4427020506634496,3,False,True,False,False,Junior
25.0,109.15,267.5,285.0,170.0,2.450755840586349,2.6110856619331195,2,False,False,True,True,Open
26.0,123.83,342.5,295.0,247.5,2.765888718404264,2.3822983122022126,3,False,True,False,True,Open
38.0,108.41,225.0,277.5,157.5,2.075454293884328,2.5597269624573378,1,True,False,False,True,Masters 1
34.5,70.93,140.0,157.5,75.0,1.9737769632031579,2.2204990836035527,1,True,False,False,False,Open
20.5,73.0,232.5,260.0,150.0,3.184931506849315,3.5616438356164384,1,True,False,False,True,Junior
27.5,94.9,180.0,160.0,105.0,1.8967334035827186,1.685985247629083,3,False,True,False,False,Open
21.0,58.0,177.5,232.5,137.5,3.060344827586207,4.008620689655173,1,True,False,False,True,Junior
17.5,78.38,222.3,229.1,120.2,2.836182699668283,2.92293952538913,3,False,True,False,True,Sub-Junior
26.0,96.7,72.5,105.0,50.0,0.749741468459152,1.0858324715615304,1,True,False,False,False,Open
53.5,92.2,197.5,245.0,172.5,2.1420824295010847,2.6572668112798263,3,False,True,False,True,Masters 2
35.5,104.1,297.1,249.48,213.19,2.8539865513928917,2.3965417867435157,4,False,False,False,True,Open
40.0,80.0,137.5,167.5,85.0,1.71875,2.09375,3,False,True,False,False,Masters 1
31.0,89.81,182.5,207.5,115.0,2.0320676984745574,2.310433136621757,2,False,False,True,True,Open
69.5,65.3,155.0,215.0,87.5,2.3736600306278715,3.29249617151608,3,False,True,False,True,Masters 4
